Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
"Zucchini, Pickled",processed_foods,35.0,1.0,7.44,0.28,0.8,6.94,951.0,4,0,1,0,0,3,flexible,100g,4.442,5.14,0.03,"Olives, pickles, pickled vegetables",healthy_fats,11.43,85.03,7.2,0.07,0.0,5
"Turnip, Pickled",processed_foods,44.0,0.75,10.19,0.1,1.5,8.02,1000.0,4,0,1,0,0,3,pre_workout,100g,4.433,5.11,0.02,"Olives, pickles, pickled vegetables",healthy_fats,6.82,92.64,2.05,0.01,0.0,5
Olive Tapenade,processed_foods,282.0,0.73,4.17,30.05,1.8,0.16,835.0,0,5,3,1,2,0,flexible,100g,4.37,0.9,0.0,"Olives, pickles, pickled vegetables",healthy_fats,1.04,5.91,95.9,4.85,0.0,8
"Celery, Pickled",processed_foods,35.0,0.41,7.61,0.15,1.3,5.98,1025.0,4,0,1,0,0,3,flexible,100g,4.366999999999999,4.89,0.01,"Olives, pickles, pickled vegetables",healthy_fats,4.69,86.97,3.86,0.04,0.0,5
Creamy Italian Dressing,processed_foods,268.0,0.55,11.19,24.63,0.0,9.86,966.0,0,5,3,1,2,0,flexible,100g,4.163,0.21,0.0,Salad dressings and vegetable oils,healthy_fats,0.82,16.7,82.71,3.55,4.0,8
"Ice Cream Soda, Flavors Other Than Chocolate",processed_foods,85.0,0.92,14.02,2.9,0.2,13.4,31.0,5,1,1,0,0,3,pre_workout,100g,4.096,1.32,0.01,Milk shakes and other dairy drinks,dairy_proteins,4.33,65.98,30.71,1.79,12.0,7
"Enchilada Sauce, Red",processed_foods,30.0,0.62,4.87,0.91,0.5,1.83,547.0,4,0,1,0,0,3,flexible,100g,4.019,3.73,0.02,Tomato-based condiments,vegetables,8.27,64.93,27.3,0.11,0.0,5
"Peppers, Sweet, Pickled",processed_foods,43.0,0.67,9.6,0.12,0.9,7.61,944.0,4,0,1,0,0,3,flexible,100g,3.9949999999999997,3.65,0.02,"Olives, pickles, pickled vegetables",healthy_fats,6.23,89.3,2.51,0.05,0.0,5
Artichoke Dip,processed_foods,331.0,3.86,5.78,32.67,0.9,2.08,607.0,0,5,0,3,2,0,flexible,100g,3.932,1.44,0.01,"Dips, gravies, other sauces",other,4.66,6.98,88.83,8.46,37.0,5
"Italian Dressing, Fat-Free",processed_foods,47.0,0.97,8.75,0.87,0.6,8.85,1129.0,4,0,1,0,0,3,flexible,100g,3.9019999999999997,3.34,0.02,Salad dressings and vegetable oils,healthy_fats,8.26,74.47,16.66,0.3,2.0,5
