Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
"Fruit Juice Blend, 100% Juice",fruits,50.0,0.16,12.46,0.12,0.2,10.92,7.0,5,1,1,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,4.816000000000001,0.72,0.0,Other fruit juice,fruits,1.28,99.68,2.16,0.02,0.0,7
"Cranberry Juice Blend, 100% Juice",fruits,46.0,0.12,11.16,0.18,0.2,9.04,7.0,5,1,1,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,4.8100000000000005,0.7,0.0,Other fruit juice,fruits,1.04,97.04,3.52,0.02,0.0,7
"Grape Juice Drink, Light",fruits,23.0,0.06,5.51,0.1,0.1,4.99,5.0,5,1,1,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,4.8100000000000005,0.7,0.0,Fruit drinks,fruits,1.04,95.83,3.91,0.01,0.0,7
Apple Cider,fruits,46.0,0.1,11.3,0.13,0.2,9.62,4.0,5,1,1,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,4.795,0.65,0.0,Apple juice,fruits,0.87,98.26,2.54,0.02,0.0,7
"Vegetable And Fruit Juice, 100% Juice, With High Vitamin C",fruits,46.0,0.3,11.15,0.01,0.0,10.37,29.0,5,1,1,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,4.795,0.65,0.01,Other fruit juice,fruits,2.61,96.96,0.2,0.0,0.0,7
"Fruit Punch, Made With Fruit Juice And Soda",fruits,44.0,0.18,10.82,0.06,0.1,9.44,4.0,5,1,1,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,4.792,0.64,0.0,Fruit drinks,fruits,1.64,98.36,1.23,0.0,0.0,7
"Apple Juice, 100%",fruits,48.0,0.09,11.34,0.25,0.2,10.13,5.0,5,1,1,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,4.78,0.6,0.0,Apple juice,fruits,0.75,94.5,4.69,0.02,0.0,7
"Fruit Juice Drink, Noncitrus, Carbonated",fruits,33.0,0.07,7.74,0.18,0.1,6.38,12.0,5,1,1,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,4.756,0.52,0.0,Fruit drinks,fruits,0.85,93.82,4.91,0.01,0.0,7
"Fruit Juice Drink, With High Vitamin C",fruits,46.0,0.13,11.35,0.11,0.1,10.69,8.0,5,1,1,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,4.75,0.5,0.0,Fruit drinks,fruits,1.13,98.7,2.15,0.02,0.0,7
Fruit Juice Drink (Sunny D),fruits,54.0,0.13,13.16,0.0,0.1,12.11,61.0,5,1,1,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,4.729,0.43,0.0,Fruit drinks,fruits,0.96,97.48,0.0,0.0,0.0,7
"Cranberry Juice, 100%, Not A Blend",fruits,32.0,0.0,7.26,0.34,0.1,3.41,6.0,5,1,1,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,4.693,0.31,0.0,Other fruit juice,fruits,0.0,90.75,9.56,0.01,0.0,7
"Fruit Juice Drink, Added Calcium (Sunny D)",fruits,53.0,0.0,13.2,0.0,0.1,8.02,54.0,5,1,1,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,4.657,0.19,0.0,Fruit drinks,fruits,0.0,99.62,0.0,0.0,0.0,7
"Vegetable And Fruit Juice Drink, With High Vitamin C",fruits,29.0,0.04,7.47,0.01,0.0,2.1,21.0,5,1,1,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,4.6419999999999995,0.14,0.0,Fruit drinks,fruits,0.55,100.0,0.31,0.0,0.0,7
